"t(s)","a(m/s²)"
4.898690417E0,-1.159653488E1
4.908660417E0,-1.206670715E1
4.918630417E0,-1.258163635E1
4.928600417E0,-1.300465668E1
4.938570417E0,-1.337408844E1
4.948540417E0,-1.345866257E1
4.958510417E0,-1.321167618E1
4.968480417E0,-1.277039383E1
4.978450417E0,-1.208062820E1
4.988420417E0,-1.120120697E1
4.998390417E0,-1.037058426E1
5.008360417E0,-9.596693573E0
5.018330417E0,-8.937614136E0
5.028300417E0,-8.279881897E0
5.038270417E0,-7.715106354E0
5.048240417E0,-7.224726105E0
5.058210417E0,-6.718778229E0
5.068180417E0,-6.306535492E0
5.078150417E0,-5.913003845E0
5.088119417E0,-5.596112823E0
5.098089417E0,-5.363646240E0
5.108059417E0,-5.152285767E0
5.118029417E0,-5.116210785E0
5.127999417E0,-5.047803040E0
5.137969417E0,-4.994214478E0
5.147939417E0,-5.019511871E0
5.157909417E0,-4.998405762E0
5.167879417E0,-5.147795105E0
5.177849417E0,-5.394631805E0
5.187819417E0,-5.690716095E0
5.197789417E0,-6.037694550E0
5.207759417E0,-6.453080750E0
5.217729417E0,-6.683601379E0
5.227699417E0,-6.918462982E0
5.237669417E0,-7.202272797E0
5.247639417E0,-7.271129608E0
5.257609417E0,-7.351213074E0
5.267579417E0,-7.651937714E0
5.277549417E0,-7.945926361E0
5.287519417E0,-8.244555359E0
5.297488417E0,-8.531508636E0
5.307458417E0,-8.707243195E0
5.317428417E0,-8.907227325E0
5.327398417E0,-9.194929047E0
5.337368417E0,-9.508077850E0
5.347338417E0,-9.765392761E0
5.357308417E0,-9.864337006E0
5.367278417E0,-1.001926483E1
5.377248417E0,-1.024349854E1
5.387218417E0,-1.055574921E1
5.397188417E0,-1.090916428E1
5.407158417E0,-1.116603012E1
5.417128417E0,-1.127739853E1
5.427098417E0,-1.126153152E1
5.437068417E0,-1.111603409E1
5.447038417E0,-1.064107178E1
5.457008417E0,-1.011147308E1
5.466978417E0,-9.808353424E0
5.476948417E0,-9.685608673E0
5.486918417E0,-9.657616882E0
5.496887417E0,-9.552086334E0
5.506857417E0,-9.360035706E0
5.516827417E0,-9.027277679E0
5.526797417E0,-8.670868835E0
5.536767417E0,-8.365952911E0
5.546737417E0,-7.904612274E0
5.556707417E0,-7.432044983E0
5.566677417E0,-7.162156219E0
5.576647417E0,-7.035968628E0
5.586617417E0,-6.920408936E0
5.596587417E0,-6.869365082E0
5.606557417E0,-6.802753601E0
5.616527417E0,-6.892117767E0
5.626497417E0,-7.033872986E0
5.636467417E0,-6.987020416E0
5.646437417E0,-6.912774811E0
5.656407417E0,-6.899751892E0
5.666377417E0,-6.825955353E0
5.676347417E0,-6.706054688E0
5.686316417E0,-6.525380402E0
5.696286417E0,-6.304589539E0
5.706256417E0,-6.096671906E0
5.716226417E0,-5.933211823E0
5.726196417E0,-5.828130341E0
5.736166417E0,-5.720653839E0
5.746136417E0,-5.596711578E0
5.756106417E0,-5.594017181E0
5.766076417E0,-5.571264496E0
5.776046417E0,-5.590724030E0
5.786016417E0,-5.637726288E0
5.795986417E0,-5.697751465E0
5.805956417E0,-5.742358704E0
5.815926417E0,-5.637426910E0
5.825896417E0,-5.555996246E0
5.835868667E0,-5.608387299E0
5.845838667E0,-5.662424927E0
5.855808667E0,-5.888754272E0
5.865778667E0,-6.244115295E0
5.875747667E0,-6.718329163E0
5.885717667E0,-7.256759491E0
5.895687667E0,-7.740553436E0
5.905657667E0,-8.050858154E0
5.915627667E0,-8.245603180E0
5.925597667E0,-8.396639099E0
5.935567667E0,-8.463100891E0
5.945537667E0,-8.345146179E0
5.955507667E0,-8.388406219E0
5.965477667E0,-9.053772583E0
5.975447667E0,-9.653874664E0
5.985417667E0,-9.987979889E0
5.995387667E0,-1.052596115E1
6.005357667E0,-1.128922394E1
6.015327667E0,-1.167706741E1
6.025297667E0,-1.161344971E1
6.035267667E0,-1.118773499E1
6.045237667E0,-1.068478088E1
6.055206667E0,-1.062266006E1
6.065176667E0,-1.113594269E1
6.075146667E0,-1.196432007E1
6.085116667E0,-1.277024414E1
6.095086667E0,-1.325074493E1
6.105056667E0,-1.339833801E1
6.115026667E0,-1.322874069E1
6.124996667E0,-1.271830215E1
6.134966667E0,-1.199829941E1
6.144936667E0,-1.113848740E1
6.154906667E0,-1.022673340E1
6.164876667E0,-9.406888275E0
6.174846667E0,-8.830437012E0
6.184816667E0,-8.209977264E0
6.194786667E0,-7.525600433E0
6.204756667E0,-6.864275665E0
6.214726667E0,-6.287375336E0
6.224696667E0,-5.674699402E0
6.234665667E0,-5.006488953E0
6.244635667E0,-4.353995819E0
6.254605667E0,-3.840862885E0
6.264575667E0,-3.491040344E0
6.274545667E0,-3.193608856E0
6.284515667E0,-3.097059631E0
6.294485667E0,-3.190615082E0
6.304455667E0,-3.322041779E0
6.314425667E0,-3.153791656E0
6.324395667E0,-3.438798981E0
6.334365667E0,-4.125121765E0
6.344335667E0,-4.626878357E0
6.354305667E0,-5.031037903E0
6.364275667E0,-5.248086548E0
6.374245667E0,-5.616320801E0
6.384215667E0,-6.099965057E0
6.394184667E0,-6.587201843E0
6.404154667E0,-7.095095673E0
6.414124667E0,-7.591762848E0
6.424094667E0,-8.169710999E0
6.434064667E0,-8.564889221E0
6.444034667E0,-8.995244293E0
6.454004667E0,-9.830657043E0
6.463974667E0,-1.036265076E1
6.473944667E0,-1.066996170E1
